Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;Regulation of Alternative mRNA Splicing, via Spliceosome (GO:0000381);1/68;0.048420296378857114;0.08300622236375504;31.814814814814813;96.33004819907683;HNRNPA1
gs_ind_0;MRNA Transport (GO:0051028);1/68;0.048420296378857114;0.08300622236375504;31.814814814814813;96.33004819907683;HNRNPA2B1
gs_ind_0;MRNA Export From Nucleus (GO:0006406);1/67;0.04772395678733022;0.08300622236375504;32.295381310418904;98.25294158073844;HNRNPA2B1
gs_ind_0;Homophilic Cell-Cell Adhesion (GO:0007156);1/73;0.05189505592145425;0.08491918241692513;29.610837438423644;87.60460285303768;EMB
gs_ind_0;Fatty Acid Biosynthetic Process (GO:0006633);1/72;0.051201028212339725;0.08491918241692513;30.026973026973028;89.24003366521399;FADS2
gs_ind_0;RNA Metabolic Process (GO:0016070);1/79;0.056049539360460726;0.08967926297673716;27.336669699727025;78.77114264598481;PABPC4
gs_ind_0;Epidermis Development (GO:0008544);1/87;0.061563106950112856;0.09536207040060103;24.795210569777044;69.12142256633885;OVOL1
gs_ind_0;Long-chain Fatty Acid Metabolic Process (GO:0001676);1/88;0.06225024040039234;0.09536207040060103;24.510204081632654;68.05485818430802;FADS2
gs_ind_0;RNA Catabolic Process (GO:0006401);1/102;0.07182220430667692;0.10773330646001539;21.10978184377199;55.59391081761942;PABPC4
gs_ind_0;Regulation of RNA Splicing (GO:0043484);1/109;0.07657480027557605;0.11251807387431582;19.738643844634627;50.71819338486233;HNRNPA1
gs_ind_0;Regulation of mRNA Splicing, via Spliceosome (GO:0048024);1/113;0.07928062617586845;0.1138317661876429;19.03174603174603;48.24093694221784;HNRNPA1
gs_ind_0;Regulation of Primary Metabolic Process (GO:0080090);1/115;0.08063083438291373;0.1138317661876429;18.69681846537742;47.0762357524859;HNRNPA1
gs_ind_0;Heterochromatin Organization (GO:0070828);1/120;0.08399848341265902;0.11630559241752787;17.90854751942618;44.35869380904288;CBX6
gs_ind_0;MRNA Metabolic Process (GO:0016071);1/128;0.08936340240416857;0.12139933911509691;16.77591036414566;40.51456250319622;HNRNPA2B1
gs_ind_0;Heterochromatin Formation (GO:0031507);1/131;0.09136787125506722;0.12182382834008963;16.386973180076627;39.211755262880125;CBX6
gs_ind_0;Epithelial Cell Differentiation (GO:0030855);1/134;0.09336832822750588;0.12222762967964407;16.015516318887105;37.97604177465357;OVOL1
gs_ind_0;Neuron Projection Guidance (GO:0097485);1/138;0.09602937598231916;0.12346634054869605;15.545454545454545;36.42457218187954;EMB
gs_ind_0;RNA Biosynthetic Process (GO:0032774);1/151;0.10462881940670013;0.12634466949593043;14.19031798766018;32.03231912388388;PABPC4
gs_ind_0;Cellular Response to Starvation (GO:0009267);1/152;0.10528722457994204;0.12634466949593043;14.095709570957096;31.730332969445755;HNRNPA1
gs_ind_0;Negative Regulation of Gene Expression, Epigenetic (GO:0045814);1/146;0.10133018172159484;0.12634466949593043;14.682866961217476;33.61452935035686;CBX6
gs_ind_0;Protein Biosynthetic Process (GO:0160307);1/147;0.10199079171899277;0.12634466949593043;14.581667479278401;33.288091294813206;PABPC4
gs_ind_0;Axon Guidance (GO:0007411);1/158;0.1092284213301876;0.1289253497667788;13.55328798185941;30.011235065989755;EMB
gs_ind_0;Axonogenesis (GO:0007409);1/216;0.1465210773615848;0.17015350919409847;9.867086509777925;18.950588094034103;EMB
gs_ind_0;Lipid Metabolic Process (GO:0006629);1/268;0.17874309504348457;0.20427782290683952;7.921228304405875;13.638816261630385;FADS2
gs_ind_0;Cellular Component Assembly (GO:0022607);1/399;0.25507569140745323;0.2869601528333849;5.270299336798709;7.2002563327032725;CBX6
gs_ind_0;Negative Regulation of Programmed Cell Death (GO:0043069);1/410;0.2611820082479337;0.289309301443865;5.124890982033839;6.8803596853278775;ANXA5
gs_ind_0;Negative Regulation of Apoptotic Process (GO:0043066);1/497;0.30789764159167476;0.330875077531352;4.201841461660193;4.949718331222861;ANXA5
gs_ind_0;Negative Regulation of RNA Biosynthetic Process (GO:1902679);1/492;0.3052873702596626;0.330875077531352;4.246039819793634;5.0379336699254305;CBX6
gs_ind_0;Protein Metabolic Process (GO:0019538);1/669;0.392442240851422;0.41552707854856447;3.0839833315525165;2.884652874277793;PABPC4
gs_ind_0;Regulation of Apoptotic Process (GO:0042981);1/722;0.41653306655590305;0.4346431998844206;2.846945846945847;2.4933250777925844;ANXA5
gs_ind_0;Negative Regulation of Transcription by RNA Polymerase II (GO:0000122);1/802;0.45125511225356324;0.4641481154608079;2.5485250868906513;2.027918601320291;CBX6
gs_ind_0;Negative Regulation of DNA-templated Transcription (GO:0045892);1/1074;0.5557301629341067;0.5635573483275448;1.8665912569033203;1.0965708847113862;CBX6
gs_ind_0;Regulation of Gene Expression (GO:0010468);1/1146;0.5801739951024656;0.5801739951024656;1.7402880838061983;0.9474602189093417;HNRNPA1
