Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;Protein Localization to Chromatin (GO:0071168);1/34;0.02887177006398203;0.07996849741428982;53.962388059701496;191.29078245751705;RAD21
gs_ind_0;Triglyceride Homeostasis (GO:0070328);1/36;0.030545906737647188;0.07996849741428982;50.91549295774648;177.6199490940445;APOC1
gs_ind_0;Positive Regulation of Cytokine Production Involved in Immune Response (GO:0002720);1/37;0.03138197567836701;0.080351652011643;49.5172602739726;171.4050647170018;MALT1
gs_ind_0;Natural Killer Cell Mediated Immunity (GO:0002228);1/37;0.03138197567836701;0.080351652011643;49.5172602739726;171.4050647170018;PIK3CB
gs_ind_0;Female Gamete Generation (GO:0007292);1/40;0.03388619074841667;0.08311034151980089;45.7473417721519;154.84320985082812;EREG
gs_ind_0;Regulation of Sprouting Angiogenesis (GO:1903670);1/40;0.03388619074841667;0.08311034151980089;45.7473417721519;154.84320985082812;PIK3CB
gs_ind_0;Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854);1/40;0.03388619074841667;0.08311034151980089;45.7473417721519;154.84320985082812;PIK3CB
gs_ind_0;Positive Regulation of Interleukin-2 Production (GO:0032743);1/40;0.03388619074841667;0.08311034151980089;45.7473417721519;154.84320985082812;MALT1
gs_ind_0;Regulation of Nitric Oxide Biosynthetic Process (GO:0045428);1/46;0.03887670165958267;0.0841048159043006;39.698901098901096;128.91662890520158;PIK3CB
gs_ind_0;Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0043491);1/45;0.03804660580000085;0.0841048159043006;40.59370786516854;132.69853350206267;PIK3CB
gs_ind_0;Positive Regulation of Chromosome Organization (GO:2001252);1/46;0.03887670165958267;0.0841048159043006;39.698901098901096;128.91662890520158;RAD21
gs_ind_0;Negative Regulation of Intracellular Signal Transduction (GO:1902532);2/354;0.036001370457439154;0.0841048159043006;9.093740363860622;30.22939601255044;"PIK3CB;PPP2CB"
gs_ind_0;Acylglycerol Metabolic Process (GO:0006639);1/42;0.03555234585552858;0.0841048159043006;43.53686746987952;145.2716049757706;APOC1
gs_ind_0;Keratinocyte Differentiation (GO:0030216);1/44;0.037215848201874215;0.0841048159043006;41.52965517241379;136.67494991478915;EREG
gs_ind_0;Regulation of Phosphorylation (GO:0042325);1/42;0.03555234585552858;0.0841048159043006;43.53686746987952;145.2716049757706;EREG
gs_ind_0;Positive Regulation of Response to Biotic Stimulus (GO:0002833);1/47;0.0397061362638329;0.0841048159043006;38.84258064516129;125.31585783761906;EREG
gs_ind_0;Regulation of Cell-Substrate Adhesion (GO:0010810);1/46;0.03887670165958267;0.0841048159043006;39.698901098901096;128.91662890520158;PIK3CB
