Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;APELIN SIGNALING PATHWAY;4/138;0.01580533406338543;0.47772217330915495;4.952610916165792;20.540497129086894;"ADCY6;SMAD3;PLCB3;SERPINE1"
gs_ind_0;ATP-DEPENDENT CHROMATIN REMODELING;4/110;0.007289188399831701;0.47772217330915495;6.276819797288403;30.89050914599029;"BRD7;SMARCA2;RUVBL1;MEAF6"
gs_ind_0;COMPLEMENT AND COAGULATION CASCADES;3/87;0.02301497686976942;0.47772217330915495;6.056837305249443;22.844028795238724;"PLAUR;SERPINE1;HNRNPC"
gs_ind_0;HIPPO SIGNALING PATHWAY;4/155;0.023162287190746908;0.47772217330915495;4.387434070509855;16.519697837211094;"SERPINE1;SMAD3;SCRIB;BMP7"
gs_ind_0;HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION;5/219;0.01840108129198526;0.47772217330915495;3.828815628815629;15.297442633865451;"FDPS;SMAD3;ADCY6;BUB1B;CRTC2"
gs_ind_0;TERPENOID BACKBONE BIOSYNTHESIS;2/22;0.010244659091430056;0.47772217330915495;17.652164359481432;80.86454327951516;"PMVK;FDPS"
gs_ind_0;VASCULAR SMOOTH MUSCLE CONTRACTION;4/131;0.013273912273022282;0.47772217330915495;5.22913688840022;22.600092507110773;"ADCY6;ADORA2B;MYH14;PLCB3"
gs_ind_0;THYROID HORMONE SYNTHESIS;3/71;0.013424742161346809;0.47772217330915495;7.486573361012523;32.27204121490254;"ADCY6;HSP90B1;PLCB3"
gs_ind_0;CIRCADIAN ENTRAINMENT;2/95;0.1435591548625143;0.5695727509013878;3.835091776268247;7.443944200900196;"ADCY6;PLCB3"
gs_ind_0;CHAGAS DISEASE;3/103;0.03551097618127842;0.5695727509013878;5.082340590624858;16.964412974698714;"GNAL;PLCB3;SERPINE1"
gs_ind_0;CHEMOKINE SIGNALING PATHWAY;3/191;0.1503256629992394;0.5695727509013878;2.6797021390504465;5.077904922381869;"ADCY6;CX3CL1;PLCB3"
gs_ind_0;CHOLINERGIC SYNAPSE;2/111;0.18324112083714442;0.5695727509013878;3.2681311448434736;5.545862967570058;"ADCY6;PLCB3"
gs_ind_0;CELL CYCLE;3/157;0.09784322015357792;0.5695727509013878;3.2835426501588434;7.632230008916503;"BUB1B;SGO1;SMAD3"
gs_ind_0;AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM;1/37;0.2301430055536754;0.5695727509013878;5.831615953448903;8.566961075505606;UGP2
gs_ind_0;AMOEBIASIS;2/100;0.15575785776172085;0.5695727509013878;3.638130516303105;6.764931507691233;"GNAL;PLCB3"
gs_ind_0;AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS;3/100;0.03294749159148056;0.5695727509013878;5.240696306751353;17.8856587625937;"SMAD3;PLCB3;SERPINE1"
gs_ind_0;GLUTAMATERGIC SYNAPSE;2/112;0.1857763665444867;0.5695727509013878;3.2381476499123556;5.450487878070817;"ADCY6;PLCB3"
gs_ind_0;ESTROGEN SIGNALING PATHWAY;3/135;0.06893549208654356;0.5695727509013878;3.8393976112168944;10.268791838979595;"ADCY6;HSP90B1;PLCB3"
gs_ind_0;FOXO SIGNALING PATHWAY;2/130;0.2321290415889908;0.5695727509013878;2.7782451712412803;4.057521077542952;"BCL2L11;SMAD3"
gs_ind_0;GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIO SERIES;1/15;0.10047585169083517;0.5695727509013878;14.719865730851389;33.82386480047345;B4GALNT1
gs_ind_0;GLUCAGON SIGNALING PATHWAY;2/104;0.16565819808899127;0.5695727509013878;3.4943968358602504;6.282326784540621;"CRTC2;PLCB3"
