pathway;pathway_padj;gene;log2FC;gene_padj;direction
CHAGAS DISEASE;0.022116450318529136;PIK3CB;-0.3156524289474899;0.0376394956874175;down
CHAGAS DISEASE;0.022116450318529136;GNAL;-0.4875261143709593;0.0263608604535368;down
CHAGAS DISEASE;0.022116450318529136;PPP2CB;-0.2182897240606788;0.0376394956874175;down
T CELL RECEPTOR SIGNALING PATHWAY;0.022116450318529136;PIK3CB;-0.3156524289474899;0.0376394956874175;down
T CELL RECEPTOR SIGNALING PATHWAY;0.022116450318529136;MALT1;-0.3996352670571225;0.0352770005374673;down
T CELL RECEPTOR SIGNALING PATHWAY;0.022116450318529136;PPP2CB;-0.2182897240606788;0.0376394956874175;down
