pathway;pathway_padj;gene;log2FC;gene_padj;direction
AMYOTROPHIC LATERAL SCLEROSIS;0.04495053754024194;HNRNPA3;0.2806738122483567;0.0054995987986593;up
AMYOTROPHIC LATERAL SCLEROSIS;0.04495053754024194;HNRNPA2B1;0.2369760477820392;0.0466909810198409;up
AMYOTROPHIC LATERAL SCLEROSIS;0.04495053754024194;HNRNPA1;0.3817515573077957;0.0466909810198409;up
SPLICEOSOME;0.04495053754024194;HNRNPA3;0.2806738122483567;0.0054995987986593;up
SPLICEOSOME;0.04495053754024194;HNRNPA1;0.3817515573077957;0.0466909810198409;up
