;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
74;prerank;METABOLISM OF XENOBIOTICS BY CYTOCHROME P450;-0.36494552564642047;-1.2297774192587505;0.18590998043052837;0.4389733978617618;1.0;11/31;18.02%;"GSTO2;MGST1;GSTM5;HPGDS;GSTP1;GSTA1;HSD11B1;CYP1A2;GSTK1;MGST3;ALDH3A1"
75;prerank;PHOTOTRANSDUCTION;0.44159028264806177;1.2262312383119054;0.23043478260869565;1.0;1.0;8/14;24.44%;"GRK1;GUCA1B;CALM2;RGS9BP;CALM1;CALM3;CALML4;PDE6A"
76;prerank;COMPLEMENT AND COAGULATION CASCADES;-0.3241265146692621;-1.224699774911623;0.1527001862197393;0.4436311726991458;1.0;10/52;7.38%;"C1QB;C3;ITGAX;C1QA;C1QC;C4B;CFB;C3AR1;ITGB2;CXCL10"
77;prerank;SELENOCOMPOUND METABOLISM;0.4222260373215731;1.2226377916396733;0.2101010101010101;1.0;1.0;6/17;20.38%;"KYAT3;KYAT1;MARS2;TXNRD2;TXNRD1;MARS1"
78;prerank;CYSTEINE AND METHIONINE METABOLISM;0.33028802520467854;1.2174373454305796;0.15756302521008403;1.0;1.0;10/42;14.95%;"ADI1;MAT2B;KYAT3;KYAT1;DNMT3B;MDH2;AHCYL2;GCLM;MDH1;GCLC"
79;prerank;PRIMARY BILE ACID BIOSYNTHESIS;-0.49144077540394854;-1.2162149436408871;0.220675944333996;0.4573859651015981;1.0;5/10;18.41%;"CYP27A1;CYP7B1;SYCP2;CH25H;CYP46A1"
80;prerank;ALDOSTERONE SYNTHESIS AND SECRETION;0.2909468684629799;1.2130446607259757;0.1352549889135255;1.0;1.0;23/74;20.50%;"PDE2A;CACNA1C;KCNK3;CACNA1H;CAMK1G;CREB5;PRKD2;HSD3B2;PRKCE;CREB3L4;PRKCB;ATF6B;CALM2;CAMK2D;NR4A1;ADCY5;CALM1;NPR1;PRKD1;CAMK1D;CALM3;ATP2B4;GDNF"
81;prerank;VEGF SIGNALING PATHWAY;-0.32890105224449856;-1.2001330760954962;0.17073170731707318;0.4913726854138426;1.0;11/51;13.42%;"MAPKAPK3;MAPKAPK2;CASP9;MAPK13;NRAS;PRKCG;AKT2;PTK2;PLA2G4B;NCOA3;RAC2"
82;prerank;TYPE I DIABETES MELLITUS;-0.4772013817248667;-1.191698006741332;0.2528957528957529;0.5072678026092868;1.0;3/11;7.08%;"GAD2;GAD1;CD80"
83;prerank;LEGIONELLOSIS;-0.334971604137322;-1.1856387029352267;0.20373831775700935;0.5158079075534928;1.0;17/43;21.35%;"C3;SAR1B;CASP9;TLR2;ITGB2;CASP8;CASP1;ITGAM;MYD88;SAR1A;EEF1A1;HSPA1L;CR1L;NDUFA2;NFKB2;CASP7;EEF1G"
84;prerank;RENAL CELL CARCINOMA;0.2979216923437859;1.182187819626768;0.17180616740088106;1.0;1.0;18/63;19.54%;"PIK3R2;ETS1;PIGU;SOS1;PKN1;VEGFA;EPAS1;SLTM;VHL;ARHGEF7;PIK3CB;MAP2K1;ARAF;CRKL;BRAF;JUN;GRB2;RAP1B"
85;prerank;VIRION - HEPATITIS VIRUSES;-0.34920647041666963;-1.1746029984336384;0.23586744639376217;0.5393922582144037;1.0;11/33;20.29%;"CLDN22;CLDN1;CLDN11;CLDN10;SCARB1;HSPG2;LAMP1;CLDN15;CLDN14;CD63;CD81"
86;prerank;AXON GUIDANCE;0.2468348856376558;1.1718430543107592;0.11971830985915492;1.0;1.0;32/170;13.65%;"PIK3R2;SEMA3D;WNT5A;EPHA3;NFATC3;SEMA3C;LIMK2;PPP3CA;PARD6B;LRRC4C;SEMA5B;NTN4;NCK1;GNAI3;CXCL12;LIMK1;EPHB3;PLXNA2;PKN1;NTNG2;ABLIM1;SEMA6D;SLTM;ARHGEF7;EFNA5;TRPC1;CAMK2D;PIK3CB;UNC5D;TRPC4;LRIG2;EPHB4"
87;prerank;NF-KAPPA B SIGNALING PATHWAY;-0.28686994793691367;-1.1704263283328513;0.18;0.5429853893262931;1.0;26/81;21.87%;"TNFRSF1A;IRAK1;SPNS1;ERC1;GADD45A;BTK;CHUK;PIDD1;BCL2L1;LTBR;LBP;IKBKB;SYK;LY96;MYD88;LTB;TNFSF13B;ICAM1;NDUFA2;VCAM1;BLNK;UBE2I;PLAU;TRIM25;NFKB2;LYN"
88;prerank;BETA-ALANINE METABOLISM;-0.35365545970712625;-1.1646064735152872;0.2399232245681382;0.5514927938607919;1.0;12/30;27.40%;"GAD2;ACADS;DPYS;GAD1;CARNS1;ALDH6A1;ALDH3A1;AOC3;EHHADH;SMOX;ALDH9A1;ECHS1"
89;prerank;TRANSCRIPTIONAL MISREGULATION IN CANCER;-0.2627736777267823;-1.1626686770794312;0.16295025728987994;0.5498825974439695;1.0;27/139;14.00%;"ETV6;MPO;TFE3;FUS;AFF1;PBX3;MMP9;CDKN2C;GADD45A;SPI1;ZEB1;BAK1;MEIS1;TLX1;BAIAP3;ZBTB16;FLT3;PML;BCL2L1;PTK2;ITGAM;CCND2;MLLT1;SPINT1;TGFBR2;CSF1R;ETV4"
90;prerank;OXYTOCIN SIGNALING PATHWAY;0.2521431114882184;1.162124817508741;0.1425233644859813;1.0;1.0;31/130;18.83%;"OXTR;CACNA2D2;CACNA1C;PPP1CC;CCND1;NFATC3;CACNB1;PPP3CA;KCNJ2;KCNJ12;CAMK1G;GNAI3;RYR1;MYLK4;CACNG5;PRKCB;CALM2;CAMK2D;PLA2G4C;MAP2K1;ACTG1;ADCY5;GNAI2;CACNB4;CALM1;CACNB3;JUN;NPR1;CAMK1D;CALM3;NPRL2"
91;prerank;CHEMOKINE SIGNALING PATHWAY;-0.256388488520548;-1.1609795158659322;0.17081260364842454;0.5473099598211556;1.0;35/145;17.38%;"CCL11;GNG10;GNG13;CCL7;CXCR6;NRAS;JAK3;AKT2;CCL2;FGR;CHUK;CXCL14;CXCL10;PLCB2;NCF1;GNG12;CCL22;HCK;PTK2;CCL25;CCR5;IKBKB;NCOA3;ROCK2;STAT1;CX3CR1;STAT2;RAC2;PIK3R6;GNGT2;PIK3CG;ADCY8;VAV1;CCR2;RAP1A"
92;prerank;GLYCOSAMINOGLYCAN DEGRADATION;0.40669265899507157;1.1600130462633047;0.24532224532224534;1.0;1.0;5/15;19.00%;"GLB1;HPSE;HYAL2;GUSB;HGSNAT"
93;prerank;BREAST CANCER;0.26329387600819243;1.158985383470478;0.18485523385300667;1.0;1.0;31/122;17.99%;"FGF18;FZD8;PIK3R2;KIT;CCND1;WNT5A;FGFR1;E2F3;E2F2;FZD10;DLL4;ESR1;AXIN2;WNT11;SOS1;PGR;IGF1R;FZD1;NOTCH1;CDK6;DVL3;PIK3CB;MAP2K1;FRAT2;ARAF;BRAF;FZD4;PTEN;GSK3B;JUN;GRB2"
94;prerank;FATTY ACID BIOSYNTHESIS;0.4190807699322936;1.156663921034763;0.2845528455284553;1.0;1.0;4/14;11.71%;"ACSF3;MECR;ACSL5;ACACB"
95;prerank;LIPID AND ATHEROSCLEROSIS;-0.2579879479570737;-1.1538243485532496;0.1658119658119658;0.5607869043999139;1.0;41/160;19.16%;"TNFRSF1A;CYBB;BID;NCF2;MMP9;IRAK1;CASP9;IKBKE;MAP2K6;MAPK13;NRAS;TLR2;AKT2;CCL2;CHUK;NFATC1;CASP8;NCF4;CYBA;PLCB2;NCF1;BCL2L1;PTK2;CASP1;LBP;NLRP3;IKBKB;LY96;MYD88;ROCK2;MAP3K5;VAV1;HSPA1L;HSP90B1;BAX;ICAM1;RAP1A;ATF4;NDUFA2;CAMK2B;VCAM1"
96;prerank;PRIMARY IMMUNODEFICIENCY;-0.36549475771517925;-1.151582991371166;0.2606060606060606;0.5594943701106495;1.0;8/23;19.52%;"UNG;JAK3;BTK;CIITA;PTPRC;ORAI1;BLNK;ADA"
97;prerank;MANNOSE TYPE O-GLYCAN BIOSYNTHESIS;0.36497341355002394;1.1498209501916068;0.28775510204081634;1.0;1.0;8/23;20.07%;"FKRP;B4GALT3;FKTN;CRPPA;B4GALT1;POMGNT2;B3GAT2;LARGE1"
98;prerank;C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY;-0.2801362236125669;-1.1472886950765417;0.20141342756183744;0.564714413665843;1.0;18/83;13.40%;"MAPKAPK2;IKBKE;MAPK13;NRAS;AKT2;IRF1;CHUK;NFATC1;CASP8;MMAB;CCL22;FCER1G;CASP1;NLRP3;IKBKB;SYK;STAT1;STAT2"
99;prerank;FC GAMMA R-MEDIATED PHAGOCYTOSIS;-0.2823154682877061;-1.1469166741701848;0.20454545454545456;0.5584425837062414;1.0;24/86;18.17%;"FCGR2B;WASF2;SPNS1;PRKCG;AKT2;ARPC5L;ARPC5;PLPP2;DNM2;GSN;NCF1;HCK;PLA2G4B;SYK;MARCKSL1;PLPP3;ASAP2;RAC2;INPP5D;PTPRC;VAV1;ARPC2;ARPC1A;ARPC1B"
100;prerank;ATP-DEPENDENT CHROMATIN REMODELING;-0.2713570015208246;-1.1446609033961421;0.1951219512195122;0.5574057534475797;1.0;16/94;10.70%;"POLE3;INO80E;H2AJ;INO80;SMARCD2;EP400;SMARCE1;BCL7C;BRD7;ACTR5;RSF1;SMARCC1;ZNHIT1;RUVBL2;H2AZ2;EPC1"
101;prerank;SIGNALING PATHWAYS REGULATING PLURIPOTENCY OF STEM CELLS;0.25899256550857536;1.1440879916824218;0.182648401826484;1.0;1.0;32/111;22.78%;"KLF4;FZD8;PIK3R2;WNT5A;ZFHX3;ACVR1B;ID2;FGFR1;ACVR2A;FZD10;AXIN2;WNT11;IGF1R;LIFR;FZD1;DVL3;PIK3CB;MAP2K1;JARID2;FZD4;BMPR2;GSK3B;ZIC3;GRB2;PCGF6;MAPK11;LEFTY1;WNT7A;ISL1;ID4;LIF;PCGF2"
102;prerank;HISTIDINE METABOLISM;0.38778906544499914;1.1384165110362279;0.305327868852459;1.0;1.0;3/17;8.01%;"HAL;HECA;CARNMT1"
