;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
16;prerank;CYTOSOLIC DNA-SENSING PATHWAY;-0.4886297852558248;-1.7852146679111156;0.001658374792703151;0.017944455526741582;0.213;22/56;18.30%;"IL33;STING1;POLR3B;FADD;SAMHD1;IRF7;ZBP1;IKBKB;AIM2;CASP8;POLR1D;G3BP1;NLRP3;POLR3E;CASP7;IKBKE;IL18;POLR2F;NFKB1;GSDMD;POLR2L;CHUK"
17;prerank;PHOTOTRANSDUCTION;0.6452956343639074;1.7797166723195241;0.01141552511415525;0.10511573829404926;0.272;10/14;23.92%;"CALM2;PDE6B;CNGB1;GNB1;GRK1;GUCA1B;CALM1;RGS9BP;CALML4;CALM3"
18;prerank;CYTOKINE-CYTOKINE RECEPTOR INTERACTION;-0.4064590597593301;-1.761002013217508;0.0;0.022740873728306403;0.274;42/140;17.30%;"TNFRSF1A;CSF1;IL33;CSF1R;CSF2RB;CXCR6;CX3CR1;LTBR;CCL11;CXCL14;CCR5;IL3RA;CCL7;TGFB1;CSF3R;IL17RA;BMP4;THPO;ACKR3;BMP6;CCR2;TNFRSF14;IFNLR1;IL7;TNFSF13;TGFBR2;IL10RA;TNFRSF1B;CSF2RA;IL21R;BMPR1B;IL25;TNFSF10;IL18;IL17RE;IL20RB;CXCL16;BMP5;CD4;LTB;CNTF;CTF1"
19;prerank;TUBERCULOSIS;-0.41568345630233344;-1.7552495072095593;0.0;0.022717405334365944;0.289;35/124;14.94%;"TNFRSF1A;ITGAM;ITGB2;BID;CTSS;C3;FCGR2B;ITGAX;LBP;FCER1G;SYK;MRC2;FADD;TLR2;STAT1;CR1L;MAPK13;TLR1;TLR9;CREB1;TGFB1;AKT2;TCIRG1;CD74;MYD88;CASP8;CARD9;IRAK2;IRAK1;IL10RA;HSPA9;IL18;CIITA;SPHK1;NFKB1"
20;prerank;NEUTROPHIL EXTRACELLULAR TRAP FORMATION;-0.4307157793584393;-1.7522363892442372;0.0;0.022282805446579634;0.297;27/97;11.90%;"H2AJ;ITGAM;SELPLG;ITGB2;ATG7;RAC2;CYBB;C3;MPO;NCF1;NCF4;CYBA;PLCG1;SYK;TLR7;NCF2;TLR2;CR1L;MAPK13;C5AR1;AKT2;ITGAL;CASP4;H2BC12;ITGB3;PLCB2;H2AC6"
21;prerank;HEMATOPOIETIC CELL LINEAGE;-0.5014574850191199;-1.7401670474391475;0.0033003300330033004;0.02396575920151466;0.333;16/41;13.62%;"ITGAM;CSF1;CSF1R;CD38;CD33;CR1L;IL3RA;FLT3;CSF3R;THPO;ANPEP;IL7;ITGB3;ITGA5;CSF2RA;CD37"
22;prerank;CORONAVIRUS DISEASE - COVID-19;-0.3904712521016516;-1.7176886771089772;0.0;0.028831704235653965;0.4;79/174;30.19%;"TNFRSF1A;C1QA;C1QB;STING1;C3AR1;CYBB;C4B;C3;C1QC;OAS2;TLR3;RPS27L;PLCG1;SYK;IRF9;TLR7;TLR2;STAT1;MAPK13;EIF2AK2;ISG15;C5AR1;IKBKB;ACE;MYD88;RPL7A;RPLP2;IRAK1;NLRP3;EGFR;IKBKE;RPL38;RPL23;RPS28;RPS6;NFKB1;RPS25;VWF;RPL35;RPS15;CFB;HNRNPC;RPS9;TRAF6;RPS12;OAS3;CHUK;RPS27A;RPL21;STAT2;RPL12;RPS20;RPL36A;CASP1;RPL29;IFIH1;TYK2;RPS8;RPL27;UBA52;RPLP0;TLR4;RPL39;RPL5;RPS21;PIK3R1;IRAK4;RELA;IL1B;ADAR;RPL35A;PIK3CA;RPS7;RPL27A;RPS23;RPL9;JUN;RPL8;RPS24"
23;prerank;LEUKOCYTE TRANSENDOTHELIAL MIGRATION;-0.4170773098530883;-1.704215586849783;0.0;0.03227164926746016;0.448;28/96;14.63%;"ITGAM;ITGB2;RAC2;CYBB;VCAM1;VAV1;CLDN10;NCF1;CLDN11;NCF4;MMP9;CYBA;PLCG1;ICAM1;CLDN22;NCF2;MAPK13;F11R;VASP;CLDN1;ROCK2;PTK2;ITGAL;MMP2;RAPGEF3;AFDN;ROCK1;TXK"
24;prerank;NECROPTOSIS;-0.41353346290942533;-1.6974468538259486;0.003278688524590164;0.033319430087832246;0.473;20/109;7.60%;"TNFRSF1A;H2AJ;BID;IL33;GLUL;CYBB;FTH1;PLA2G4A;TLR3;IRF9;FADD;PYGL;JAK3;PYGM;STAT1;EIF2AK2;CFLAR;CHMP2B;ZBP1;CASP8"
25;prerank;GLYCOSPHINGOLIPID BIOSYNTHESIS - GLOBO AND ISOGLOBO SERIES;-0.6460496381822334;-1.6938034556168604;0.013769363166953529;0.032980916284327415;0.485;5/13;11.64%;"GBGT1;HEXB;HEXA;FUT9;B3GALT5"
26;prerank;B CELL RECEPTOR SIGNALING PATHWAY;-0.43561663408972495;-1.6818051915128027;0.0016155088852988692;0.035684996786133835;0.527;20/68;11.58%;"RASGRP3;RAC2;INPP5D;FCGR2B;NRAS;PTPN6;VAV1;SYK;PIK3AP1;NCOA3;AKT2;CD81;IKBKB;DAPP1;NFATC1;BTK;BLNK;IFITM1;LYN;INPPL1"
27;prerank;CHOLESTEROL METABOLISM;-0.4986068971902904;-1.6765104085307054;0.00676818950930626;0.03642795398630228;0.548;9/34;10.99%;"CYP27A1;LDLRAP1;NPC1;LCAT;APOC1;SCARB1;SORT1;NPC2;CIDEB"
28;prerank;VIRAL MYOCARDITIS;-0.4873520752997763;-1.675985754802819;0.008928571428571428;0.03523147508784851;0.549;14/40;11.31%;"ITGB2;BID;RAC2;CXADR;SSPN;ICAM1;NCOA3;MYH7;CASP8;CD86;ITGAL;CD80;SNTA1;ABL2"
29;prerank;TOLL-LIKE RECEPTOR SIGNALING PATHWAY;-0.4194626986531698;-1.6615346983522885;0.0;0.0394431268824513;0.596;21/79;10.43%;"TLR3;LBP;IRF9;TLR7;FADD;IRF7;TLR2;STAT1;MAPK13;TLR1;TLR9;MAP2K6;AKT2;IRF5;IKBKB;MYD88;CASP8;CD86;CTSK;CD80;IRAK1"
