;Name;Term;ES;NES;NOM p-val;FDR q-val;FWER p-val;Tag %;Gene %;Lead_genes
114;prerank;MTOR SIGNALING PATHWAY;-0.2855727333111403;-1.346293036334027;0.028688524590163935;0.24331347324216882;0.998;41/139;18.61%;"PRKCA;CAB39L;RPS6KB1;GSK3B;EIF4E2;SOS1;SEH1L;TSC1;RPS6KA3;PDPK1;AKT3;DEPDC5;PIK3R1;CASTOR2;PRKAA1;NPRL3;PIK3CB;CLSTN1;PIK3R3;IGF1;ULK1;MAPK1;LAMTOR1;INSR;ATP6V1C1;MAPKAP1;FZD1;TELO2;SLC38A9;WNT16;CLIP1;FNIP1;EIF4B;TTI1;FZD8;RPTOR;PTEN;PIK3CA;NRAS;DDIT4;WDR59"
115;prerank;CORNIFIED ENVELOPE FORMATION;0.29898332975550435;1.3454691608244;0.04423076923076923;0.17937840137574007;1.0;23/100;11.12%;"ST14;S100A9;CLDN10;PPP2R5A;RCAN1;S100A8;CLDN11;HAL;S100A11;CLDN5;KRT18;S100A1;KRT8;KRT1;S100A13;EVPL;CLDN3;PADI2;CLDN2;PPP2R1B;JUP;TMEM79;KRT9"
116;prerank;GAP JUNCTION;0.3139071271740482;1.3437975706954906;0.0536779324055666;0.17915044045878606;1.0;30/75;23.47%;"ADCY5;GRM1;GUCY1A1;ITPR2;PRKCB;HTR2C;ADRB1;GRM5;TUBB4A;GUCY1B1;MAP2K1;PLCB2;MAPK3;ADCY7;GNAI2;GJA1;MAPK7;GJD2;ADCY8;PRKCG;GNA11;CDK1;HRAS;DRD2;ADCY4;LPAR1;TUBB2A;GNAS;PDGFB;DRD1"
117;prerank;TYROSINE METABOLISM;0.4237775742964098;1.3424865981392768;0.11538461538461539;0.17839892593457382;1.0;13/22;26.07%;"S100A9;COMT;FAH;FAHD1;ALDH3A1;AOC3;ADH7;MAOB;GSTZ1;DDC;ALDH3B1;ATAT1;TH"
118;prerank;BUTANOATE METABOLISM;0.4361382300687794;1.3417702129701827;0.11475409836065574;0.1771858993273238;1.0;9/20;19.38%;"GAD2;GAD1;ECHS1;HMGCLL1;ACSM5;HMGCL;ALDH5A1;BDH1;ABAT"
119;prerank;VITAMIN B6 METABOLISM;0.6078049952805809;1.3375582103352166;0.15414258188824662;0.18029239175882006;1.0;3/6;13.94%;"PDXK;PDXP;PSAT1"
120;prerank;INFLAMMATORY BOWEL DISEASE;0.392816865706341;1.330471973508186;0.11132437619961612;0.1876545777159327;1.0;11/29;18.63%;"IL18;TGFB2;TGFB3;RORC;TLR2;TGFB1;RELA;IFNGR1;IFNGR2;SMAD3;IL2RG"
121;prerank;LEGIONELLOSIS;0.3545915964836592;1.3250969731333981;0.08;0.19214241980191935;1.0;16/43;24.68%;"IL18;ITGAM;SAR1B;C3;HSF1;ITGB2;TLR2;EEF1A1;PYCARD;EEF1G;RELA;MYD88;RAB1B;HSPA1L;NFKBIA;IL1B"
122;prerank;FC GAMMA R-MEDIATED PHAGOCYTOSIS;0.3065898767287022;1.3195059127546498;0.05660377358490566;0.19641846412606462;1.0;29/86;18.37%;"RNASE1;VAV1;PLA2G4A;RAC2;PRKCB;HCK;ARPC2;DNM2;PLD2;SYK;PRKCSH;MAP2K1;PTPRC;PIK3R2;RPS6KB2;MAPK3;MARCKSL1;INPP5D;WAS;LYN;VPS72;SPNS1;PLPP3;PLA2G6;PRKCG;MARCKS;AKT1;PLCG2;NCF1"
123;prerank;TERPENOID BACKBONE BIOSYNTHESIS;-0.4248560311207113;-1.318702516535977;0.09465020576131687;0.28219605000905956;0.999;10/20;28.25%;"HMGCR;PCYOX1;HMGCS1;IDI1;DHDDS;NUS1;GGPS1;ICMT;HMGCS2;PDSS2"
