Term;NES_BIMplusBAK;FDR_BIMplusBAK;NES_BIMminusPF;FDR_BIMminusPF
mitochondrial electron transport, NADH to ubiquinone (GO:0006120);-2.309217284030398;0.0;;
mitochondrial respiratory chain complex I assembly (GO:0032981);-2.036197318844269;0.0033864565439941;;
mitochondrial respiratory chain complex assembly (GO:0033108);-2.094870980626244;0.0014462831219239;;
mitochondrial translation (GO:0032543);-2.3878493401254266;0.0;;
mitochondrial translational elongation (GO:0070125);-2.493399760229523;0.0;;
mitochondrial translational termination (GO:0070126);-2.4640152205326564;0.0;;
mitotic cell cycle phase transition (GO:0044772);-1.907360764256584;0.018462634340404;;
mitotic chromosome condensation (GO:0007076);-2.042518721626026;0.0030531328643123;;
mitotic metaphase plate congression (GO:0007080);-2.301170380312481;3.523888183136478e-05;;
mitotic nuclear division (GO:0140014);-2.26079119158344;6.068918537623935e-05;;
mitotic nuclear membrane organization (GO:0101024);-2.211453930257665;0.0001092405336772;;
mitotic nuclear membrane reassembly (GO:0007084);-2.211453930257665;0.0001092405336772;;
mitotic sister chromatid segregation (GO:0000070);-2.450788638255188;0.0;;
mitotic spindle assembly checkpoint signaling (GO:0007094);-2.129033945076772;0.0007663141914671;;
mitotic spindle checkpoint signaling (GO:0071174);-2.129033945076772;0.0007663141914671;;
mitotic spindle organization (GO:0007052);-2.6230715654329373;0.0;;
monocyte chemotaxis (GO:0002548);;;-1.98996399425721;0.027090198597856
muscle filament sliding (GO:0030049);-1.9018478219924424;0.0193470734644148;;
ncRNA export from nucleus (GO:0097064);-1.806144317352175;0.04698001023625;;
ncRNA processing (GO:0034470);-2.5923036814876355;0.0;;
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972);-2.182011825909334;0.0002184810673544;;
negative regulation of amyloid precursor protein catabolic process (GO:1902992);-1.815978587178945;0.0434334830734407;;
negative regulation of anoikis (GO:2000811);;;-1.9977674456472816;0.0273552434204706
negative regulation of blood coagulation (GO:0030195);-1.8507011137549825;0.0332814016887322;;
negative regulation of cell communication (GO:0010648);;;-2.0052993237836514;0.0272199942105768
negative regulation of cell cycle G2/M phase transition (GO:1902750);-2.265570200751802;3.1211581050637384e-05;;
negative regulation of fibrinolysis (GO:0051918);-1.8122762393737049;0.0447343377971417;;
negative regulation of mitotic cell cycle phase transition (GO:1901991);-2.1554886819437096;0.0004369621347089;;
negative regulation of mitotic metaphase/anaphase transition (GO:0045841);-2.1762793053793774;0.0002299800708994;;
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051);-1.8115371538176157;0.0448290782645821;;
negative regulation of response to external stimulus (GO:0032102);-1.9319072211749448;0.0136082493380779;;
negative regulation of signaling (GO:0023057);;;-2.080794759818517;0.014939739913162
negative regulation of sodium ion transmembrane transport (GO:1902306);;;-1.9837780986965343;0.0282901457930089
negative regulation of sodium ion transmembrane transporter activity (GO:2000650);;;-2.0477826719817847;0.0199143554374383
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948);-1.926505807765952;0.0145001349890437;;
neutrophil chemotaxis (GO:0030593);;;-1.9740500547079425;0.0270123212302236
neutrophil migration (GO:1990266);;;-1.9979533719311813;0.028925879406335
non-motile cilium assembly (GO:1905515);;;2.228784758711063;0.0173463808917846
nuclear membrane reassembly (GO:0031468);-2.1433214646642718;0.0006068918537623;;
nuclear pore organization (GO:0006999);-1.817548131047119;0.0434424935217065;;
nuclear-transcribed mRNA catabolic process (GO:0000956);-2.4077280507701087;0.0;;
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184);-2.6494476076265747;0.0;;
nucleic acid metabolic process (GO:0090304);-1.8036491043216685;0.0481443310098454;;
