Gene_set;Term;Overlap;P-value;Adjusted P-value;Odds Ratio;Combined Score;Genes
gs_ind_0;Positive Regulation of Macrophage Chemotaxis (GO:0010759);2/15;0.004137988227999756;0.13253732883210984;28.784302437152178;157.95517059098043;"CXCL17;CCL2"
gs_ind_0;Response to Chemokine (GO:1990868);2/15;0.004137988227999756;0.13253732883210984;28.784302437152178;157.95517059098043;"STK39;SH2B3"
gs_ind_0;Regulation of Coagulation (GO:0050818);2/16;0.004709222504907369;0.14245398077344792;26.79739145971056;143.5866527050793;"CAV1;SERPINE1"
gs_ind_0;Negative Regulation of Cation Transmembrane Transport (GO:1904063);2/16;0.004709222504907369;0.14245398077344792;26.79739145971056;143.5866527050793;"CAV1;STK39"
gs_ind_0;Regulation of Wound Healing (GO:0061041);3/53;0.004900981856513793;0.14424781734441947;10.858690581099994;57.74998819718258;"CAV1;SERPINE1;CLDN1"
gs_ind_0;Regulation of Fibrinolysis (GO:0051917);2/17;0.005314663726412452;0.14840176405290154;25.066856092261407;131.28228289447338;"PLAUR;SERPINE1"
gs_ind_0;Regulation of Plasminogen Activation (GO:0010755);2/17;0.005314663726412452;0.14840176405290154;25.066856092261407;131.28228289447338;"PLAUR;SERPINE1"
gs_ind_0;Regulation of Vascular Endothelial Cell Proliferation (GO:1905562);2/18;0.005953853392074927;0.1521675680038259;23.546082587533366;120.64345516351523;"FLT1;CCL2"
gs_ind_0;Positive Regulation of Leukocyte Chemotaxis (GO:0002690);3/57;0.006008453098406348;0.1521675680038259;10.059032614438733;51.44780701372831;"CXCL17;SERPINE1;CCL2"
gs_ind_0;Positive Regulation of Vasculature Development (GO:1904018);4/110;0.005685293804604956;0.1521675680038259;6.66510172143975;34.45772591572208;"SPHK1;FLT1;SERPINE1;HMGA2"
gs_ind_0;Positive Regulation of Potassium Ion Transmembrane Transport (GO:1901381);2/18;0.005953853392074927;0.1521675680038259;23.546082587533366;120.64345516351523;"KCNN4;STK39"
gs_ind_0;Regulation of Smooth Muscle Contraction (GO:0006940);2/23;0.009640286998959167;0.17210282855518907;18.064224605374143;83.85059724003645;"SPHK1;CAV1"
gs_ind_0;Hexose Transmembrane Transport (GO:0008645);2/23;0.009640286998959167;0.17210282855518907;18.064224605374143;83.85059724003645;"PPBP;SLC45A3"
gs_ind_0;Regulation of Smooth Muscle Cell Migration (GO:0014910);2/20;0.007331666030696678;0.17210282855518907;20.99775941744854;103.21558879028031;"SERPINE1;IGFBP3"
gs_ind_0;Glycosaminoglycan Biosynthetic Process (GO:0006024);2/23;0.009640286998959167;0.17210282855518907;18.064224605374143;83.85059724003645;"GCNT2;HAS3"
gs_ind_0;Regulation of Calcium Ion Import (GO:0090279);2/22;0.008839079809404066;0.17210282855518907;18.946670036648552;89.59070293426066;"KCNN4;CCL2"
gs_ind_0;Regulation of Integrin-Mediated Signaling Pathway (GO:2001044);2/22;0.008839079809404066;0.17210282855518907;18.946670036648552;89.59070293426066;"TIMP1;SERPINE1"
gs_ind_0;Regulation of Heterotypic Cell-Cell Adhesion (GO:0034114);2/21;0.00806939386903539;0.17210282855518907;19.91962269164342;96.00614551666128;"GCNT2;MYADM"
gs_ind_0;Positive Regulation of p38MAPK Cascade (GO:1900745);2/23;0.009640286998959167;0.17210282855518907;18.064224605374143;83.85059724003645;"SPHK1;STK39"
gs_ind_0;Positive Regulation of Macrophage Migration (GO:1905523);2/21;0.00806939386903539;0.17210282855518907;19.91962269164342;96.00614551666128;"CXCL17;CCL2"
gs_ind_0;Establishment of Skin Barrier (GO:0061436);2/21;0.00806939386903539;0.17210282855518907;19.91962269164342;96.00614551666128;"KRT16;CLDN1"
gs_ind_0;Positive Regulation of Monocyte Chemotaxis (GO:0090026);2/21;0.00806939386903539;0.17210282855518907;19.91962269164342;96.00614551666128;"CXCL17;SERPINE1"
gs_ind_0;Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046425);3/66;0.009011382139975497;0.17210282855518907;8.62814857566888;40.63225379216937;"CAV1;SH2B3;SOCS3"
