,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,1205.4411511277447,-0.02104259946465228,0.10108227372775785,-0.20817299303462192,0.8350938950816068,0.9801992426830581
ENSMUSG00000000028,55.94114153928686,0.017750595203970147,0.23480117434891892,0.0755984089653335,0.9397386023054866,0.9931583849608147
ENSMUSG00000000037,26.22830743832206,0.07563059571342538,0.3077312342788237,0.24576834356989366,0.8058615637242542,0.977309193991441
ENSMUSG00000000049,19.17162516773965,0.2716168859945959,0.5015815329000503,0.5415209057322307,0.5881485920809949,0.9453888275301948
ENSMUSG00000000056,826.5439382685089,-0.1269921508202194,0.20430961971651665,-0.6215671635844818,0.534226518221206,0.9407567370669676
ENSMUSG00000000058,1127.5453386372908,-0.4062557649810642,0.24273534538736,-1.6736572266917138,0.09419798465047304,0.8290240000567131
ENSMUSG00000000078,1148.4763963922785,-0.18271135806402894,0.15549017658668673,-1.1750668889501596,0.23996795626904155,0.8728502307021704
ENSMUSG00000000085,549.7980880235225,0.12977418142046762,0.13355101305917197,0.971719932689459,0.3311898977180897,0.908076449456536
ENSMUSG00000000088,2791.4510175754385,-0.04816625454065342,0.11019165727620117,-0.43711344153688675,0.6620290796470931,0.9565744417343142
ENSMUSG00000000093,672.840412319442,-0.338950924819145,0.2019481436688599,-1.6784057464520816,0.09326791656459113,0.8290240000567131
ENSMUSG00000000120,7425.646727489069,-0.16994223979011952,0.3431122342476848,-0.4952963573646346,0.6203909418270349,0.9506548920055039
ENSMUSG00000000125,26.60052176805836,1.3483908222185819,0.72620201842837,1.8567709645543797,0.06334374630186274,0.812063745734584
ENSMUSG00000000126,177.04389563693522,-0.2057769295308858,0.2204462782853691,-0.9334561287739512,0.3505845117758397,0.9095730834544112
ENSMUSG00000000127,288.90298787668854,0.022409191324423653,0.1408371846611931,0.15911416703147416,0.8735789267390368,0.9837722435288863
ENSMUSG00000000131,1432.6001367361405,0.031290262040028494,0.07247217051306691,0.43175555276610317,0.6659190869005247,0.9581358368381173
ENSMUSG00000000134,838.9249782171596,-0.1530178449134243,0.0783300127110539,-1.9535021075239847,0.050760127799657495,0.8009649577798896
ENSMUSG00000000142,195.05187366249046,0.1697233025499825,0.18450539135611832,0.9198826186189618,0.3576341028345916,0.910151548745744
ENSMUSG00000000148,478.37539055689814,0.17367741113558607,0.11480390826416183,1.512817932434472,0.13032591247613934,0.8290240000567131
ENSMUSG00000000149,2311.4871024212657,0.10172945348175333,0.12470772399485526,0.8157430047071512,0.4146471372820424,0.9219191849450132
ENSMUSG00000000154,184.03499314612733,-0.08152600367197775,0.25132142765970644,-0.3243893862578458,0.7456432542224989,0.9720802517771125
ENSMUSG00000000167,13.946552644785504,-0.8431359583912654,0.491341772536829,-1.715986723534823,0.08616447240621143,0.8290240000567131
ENSMUSG00000000168,2260.1656876634293,-0.06604250937826657,0.08675522838726678,-0.7612510577859276,0.4465071271689032,0.9301263859231191
ENSMUSG00000000171,1813.4483554444364,-0.2089013012237852,0.15651053451886093,-1.3347427498473636,0.18196055671532585,0.8546818186980744
ENSMUSG00000000184,191.0200135322067,0.11526572195364584,0.23043187546224092,0.5002160474648983,0.6169229600267991,0.9506548920055039
ENSMUSG00000000194,1142.6427112943147,-0.14146216957988997,0.13068333858686698,-1.0824805297261224,0.27903906233569953,0.8844901026009114
ENSMUSG00000000197,742.5106097041264,0.11033347339277493,0.2845779105043522,0.3877091977983566,0.6982312483529712,0.9622195368954648
ENSMUSG00000000202,19.85416484976837,2.580600721084697,1.2581010374837331,2.0511871814731437,0.040248721736590144,0.7874753294988642
ENSMUSG00000000204,11.247759588705978,-1.271432520554595,0.9560154355041487,-1.3299288623766972,0.18354171079299564,0.8546818186980744
ENSMUSG00000000214,230.7357795114539,0.22664332374588436,0.5359148343274238,0.4229092184587931,0.6723614967402051,0.9588320340926602
ENSMUSG00000000223,11313.581477188707,0.22793069159240537,0.3388354578854419,0.6726884282266211,0.5011455309780104,0.938300277155621
ENSMUSG00000000247,6.3019392975054,-0.4426017300746028,2.3509293061919916,-0.1882667117674942,0.8506675788818849,0.9823148839731541
ENSMUSG00000000253,836.0435189828968,0.16658398450850356,0.11106146153326034,1.4999260968541777,0.13363354711433056,0.8290240000567131
ENSMUSG00000000266,710.7183502549748,0.004298587774190921,0.1165545594835338,0.03688047720516847,0.970580306089634,0.9974874191338963
ENSMUSG00000000275,323.13915433305925,-0.054559970186383394,0.21388181970254902,-0.25509400594338194,0.7986504936229546,0.9765796493029931
ENSMUSG00000000276,592.9860936263606,0.16382491485859704,0.2546844525769909,0.6432466261719407,0.5200640831227601,0.9403768834370693
ENSMUSG00000000278,380.11081833260715,0.12228766750345067,0.2233975690196042,0.5473992758297175,0.5841044526933996,0.9448642969527615
ENSMUSG00000000282,716.3805356969455,-0.09531454371586752,0.09183724574217898,-1.0378637005670945,0.2993335151991362,0.8960672305005856
ENSMUSG00000000290,67.05083586686449,0.12036935698730648,0.5825909447030319,0.20661041521794196,0.8363141256051126,0.9801992426830581
ENSMUSG00000000295,231.87894672493675,0.03787459775077303,0.18868825902463415,0.2007257788404753,0.8409130013403415,0.9809669901372668
ENSMUSG00000000296,131.69250791209973,0.23771771606958345,0.22495396555105113,1.0567393888223575,0.2906305431653168,0.890445987046912
ENSMUSG00000000301,70.3176032053757,-0.17694785474024327,0.21695782409045414,-0.8155864186141086,0.4147367197974232,0.9219191849450132
ENSMUSG00000000303,3478.0017474458245,-0.14949364255210487,0.16022864645134102,-0.9330019685181812,0.3508189519746573,0.9095730834544112
ENSMUSG00000000305,308.9768893234539,-0.027328786565418067,0.15115432469022047,-0.18080056009926532,0.8565241234599336,0.9828020501273851
ENSMUSG00000000308,5526.596105668525,0.07044176983310033,0.13357874656554405,0.5273426472716313,0.5979556634998406,0.9498056802752864
ENSMUSG00000000317,28.339994337849145,0.13213467500278267,0.4400010796194484,0.300305342698396,0.7639442583234839,0.9745946326145768
ENSMUSG00000000318,13.98885407517826,-1.6410885344961221,0.580320189991671,-2.8279018424633406,0.004685417038082029,0.6531282634628133
ENSMUSG00000000320,37.397402441323194,-0.2752361477691013,0.3698523256673144,-0.7441784968433017,0.45676849519852447,0.9331562904092634
ENSMUSG00000000326,914.6848538029302,-0.2362012582089222,0.28113282758433317,-0.8401767244277705,0.40080930667662584,0.9191280457748062
ENSMUSG00000000339,1453.1062043732213,-0.0874072187601443,0.1314255546003837,-0.6650701914549054,0.5060055992891719,0.9386264281239365
ENSMUSG00000000340,493.0226355112278,-0.08592902846245634,0.09546176180719634,-0.9001408190643578,0.36804531569053134,0.9130900963835106
ENSMUSG00000000346,2740.258872562693,-0.020512590068794734,0.07050707340763072,-0.290929534831249,0.7711052123089692,0.9759872133720826
ENSMUSG00000000355,693.7213372657104,-0.1706019381186401,0.1469025879241374,-1.1613269754426747,0.24550895339693513,0.8728502307021704
ENSMUSG00000000359,10.321938513614459,0.23740237120111696,0.54879373133197,0.4325894368817239,0.6653130647522185,0.9581358368381173
ENSMUSG00000000365,21.943631976371456,-0.5301844146048749,0.538431975881106,-0.9846822595134053,0.32478016952206423,0.9063796035582058
ENSMUSG00000000374,2136.5392679406746,-0.1809324302598756,0.17406267264003547,-1.0394671500537447,0.29858752815000755,0.8955913737112395
ENSMUSG00000000378,850.5129707958686,0.0001618801255981655,0.06769485805824638,0.0023913208512658336,0.9980920038313017,0.9998048133514287
ENSMUSG00000000384,428.4565760565872,0.09190852642654027,0.09208057756832252,0.998131515393085,0.31821558978719466,0.9044584729976007
ENSMUSG00000000392,63.94861198335657,-0.44854691130210267,0.3756177154008213,-1.1941580306548074,0.23241615680661643,0.8665676465332771
