,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,1174.4663554887293,0.03125611599824723,0.08417053175524264,0.37134274129497125,0.7103822671571498,0.9999638739614143
ENSMUSG00000000028,56.31167293421027,-0.45968210400179904,0.1655181956114241,-2.777230033856602,0.005482436282721538,0.9999638739614143
ENSMUSG00000000037,27.312936555609312,0.04781284177187323,0.23275911580059241,0.20541769806702254,0.8372457940431595,0.9999638739614143
ENSMUSG00000000049,20.862931409370386,-0.20580250022322585,0.34794634176488687,-0.5914776950357765,0.5542003958399124,0.9999638739614143
ENSMUSG00000000056,821.2967569520273,-0.08347505104967026,0.15183736486975305,-0.5497661996523427,0.5824797446711465,0.9999638739614143
ENSMUSG00000000058,1123.4289085926882,0.2912824314210143,0.17822407466583584,1.6343607448497575,0.10218312571184078,0.9999638739614143
ENSMUSG00000000078,1097.8437207422187,0.1621198768869017,0.11350158592557054,1.4283490011603268,0.15319143035609736,0.9999638739614143
ENSMUSG00000000085,540.244069018999,0.032267030223131175,0.10738431352573105,0.30048178512962664,0.7638096882367797,0.9999638739614143
ENSMUSG00000000088,2841.6505878870544,0.05801730803520263,0.06708807365462559,0.8647931722392279,0.3871523193374383,0.9999638739614143
ENSMUSG00000000093,647.9546724972217,0.11145643813410004,0.16636323817241805,0.6699583354982976,0.5028843506094279,0.9999638739614143
ENSMUSG00000000120,6981.079586547557,-0.14161130056424462,0.26157050137811955,-0.541388649783314,0.5882397288250683,0.9999638739614143
ENSMUSG00000000125,33.79507412104162,-0.4558856485007323,0.6174835141137082,-0.7382960647217895,0.4603345573458063,0.9999638739614143
ENSMUSG00000000126,164.87706850339143,0.019031414264502427,0.2141479376136836,0.08887040648896896,0.9291849026679687,0.9999638739614143
ENSMUSG00000000127,283.05514416763145,0.12508529929529752,0.09447259303439987,1.3240379593450007,0.18549043823011102,0.9999638739614143
ENSMUSG00000000131,1431.7035333388237,-0.022577503668344198,0.06041464973965895,-0.37370908820354026,0.7086207630594837,0.9999638739614143
ENSMUSG00000000134,821.838359743535,-0.04308137192779753,0.05623627620884528,-0.7660779630537013,0.443629914415792,0.9999638739614143
ENSMUSG00000000142,191.3919967377328,0.10351316798267249,0.11820963353272623,0.8756745528190387,0.3812069830963718,0.9999638739614143
ENSMUSG00000000148,482.5513847196764,-0.06498128726917995,0.10190057313268552,-0.6376930499160914,0.5236735106257969,0.9999638739614143
ENSMUSG00000000149,2355.7007335707,0.04672303272026824,0.10016583106741617,0.46645679691731917,0.6408885649929306,0.9999638739614143
ENSMUSG00000000154,171.61060909602975,0.10196374130835906,0.21514218148919656,0.47393654095433263,0.6355451607441183,0.9999638739614143
ENSMUSG00000000167,12.932874774574653,-0.000875134954941513,0.3819731438415812,-0.0022910902744106656,0.9981719760418873,0.9999638739614143
ENSMUSG00000000168,2260.073915084069,-0.04079793355638179,0.05614410506029238,-0.7266645984038654,0.46743144518800084,0.9999638739614143
ENSMUSG00000000171,1776.0627136226879,-0.024245411926578957,0.1049455691571823,-0.23102844761616734,0.8172927017727685,0.9999638739614143
ENSMUSG00000000184,180.8262413210942,0.16840806006407094,0.17097493407464914,0.9849868401794062,0.3246305351098894,0.9999638739614143
ENSMUSG00000000194,1102.9765450701457,-0.008925623874896408,0.09451493539126836,-0.0944361209997821,0.9247627235961927,0.9999638739614143
ENSMUSG00000000197,719.3159848072498,-0.09411144582192416,0.23550945557105774,-0.3996079290902565,0.6894453154351515,0.9999638739614143
ENSMUSG00000000202,36.98582045939252,-0.4362320361758463,1.0012108672307654,-0.43570445592786483,,
ENSMUSG00000000204,8.920774467827362,-0.4412021094426348,0.6203219212971197,-0.7112470062642028,0.47693118437179105,0.9999638739614143
ENSMUSG00000000214,168.2064183712234,0.22290413334924167,0.1661552984341914,1.341540928576085,0.17974489052551024,0.9999638739614143
ENSMUSG00000000223,11182.675869921917,-0.02471768175716537,0.2548581603589799,-0.0969860322398519,0.92273748681122,0.9999638739614143
ENSMUSG00000000247,9.739074212640991,0.11477975889956649,2.7097398933546817,0.04235822013066654,0.9662131339417587,0.9999638739614143
ENSMUSG00000000253,846.844044602057,-0.08430885923811725,0.07111375095866936,-1.185549322058919,0.2358003257474296,0.9999638739614143
ENSMUSG00000000266,701.2369591732298,-0.0029897851262130474,0.09547394317040983,-0.03131519477389376,0.9750181726738778,0.9999638739614143
ENSMUSG00000000275,312.2970718072665,0.045898012067671065,0.16956135759514954,0.2706867456042592,0.7866319718407712,0.9999638739614143
ENSMUSG00000000276,646.5873825245568,-0.037862117656267756,0.19115409353787013,-0.1980711841191451,0.8429893699016815,0.9999638739614143
ENSMUSG00000000278,379.7416144059351,-0.07512609160599835,0.14463491937078193,-0.5194187678385416,0.6034687464105586,0.9999638739614143
ENSMUSG00000000282,679.0629665042763,0.092223926758939,0.07082305419704052,1.3021738162033794,0.19285697385932643,0.9999638739614143
ENSMUSG00000000290,55.70396236525967,-0.1713705439850769,0.35749616509369087,-0.4793633071285252,0.631680192241852,0.9999638739614143
ENSMUSG00000000295,232.17292920979384,0.08723045325243085,0.12973733292297843,0.6723620047301051,0.5013532651345947,0.9999638739614143
ENSMUSG00000000296,145.0465523654044,-0.22340295237521965,0.18014037899521462,-1.2401603328543807,0.21491609699986114,0.9999638739614143
ENSMUSG00000000301,69.39984048292678,0.26761564808390115,0.16705808185226834,1.601931765986378,0.1091706990727657,0.9999638739614143
ENSMUSG00000000303,3307.6555839523803,0.1011386282826931,0.16487373220436646,0.6134308172106423,0.5395915144333073,0.9999638739614143
ENSMUSG00000000305,297.3429880780677,-0.051882980096226085,0.12339544427915647,-0.4204610664462754,0.6741486655937943,0.9999638739614143
ENSMUSG00000000308,5677.712745667015,-0.014606775725087513,0.0884201982450069,-0.16519727409582413,0.8687887107456644,0.9999638739614143
ENSMUSG00000000317,24.774816906343307,-0.12757913656604336,0.2925503000654821,-0.43609299507635807,0.6627692593096978,0.9999638739614143
ENSMUSG00000000318,8.894546595233427,0.5433953872818004,0.47977474699746603,1.1326052291882514,0.2573800717017335,0.9999638739614143
ENSMUSG00000000320,37.68936267418509,0.228050771489934,0.27328322200088834,0.8344850804239738,0.40400769124153735,0.9999638739614143
ENSMUSG00000000326,947.5174341723721,0.3536981147574231,0.15807654096206303,2.237511730740031,0.02525291349337523,0.9999638739614143
ENSMUSG00000000339,1449.7828176706555,-0.07063270899592083,0.09056098490405878,-0.7799463430168061,0.43542245887244857,0.9999638739614143
ENSMUSG00000000340,489.89841635038283,-0.04161091094737988,0.06774542380738716,-0.6142246753919118,0.5390668697644561,0.9999638739614143
ENSMUSG00000000346,2739.1873545824524,0.03821163773418927,0.05277705602676205,0.7240198792977959,0.4690535307238508,0.9999638739614143
ENSMUSG00000000355,699.0359607267856,0.07686357159814643,0.09677273032633558,0.7942689158293688,0.4270388959293818,0.9999638739614143
ENSMUSG00000000359,10.515241862443135,0.048897399139685924,0.3634446903774144,0.13453876321293637,0.892976561091678,0.9999638739614143
ENSMUSG00000000365,22.61812606332671,0.18880028395472226,0.39403579447051496,0.4791450081544556,0.6318354725519568,0.9999638739614143
ENSMUSG00000000374,2081.002721014819,-0.05840157178281092,0.11573528465967833,-0.5046133679503341,0.6138304188179269,0.9999638739614143
ENSMUSG00000000378,854.447913353572,-0.026681711380491965,0.05372163094892059,-0.4966660711745959,0.6194245522854167,0.9999638739614143
