,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,1202.7027788647727,0.06650692033511339,0.08582898955962201,0.7748771210793955,0.438412272534245,0.9998702450211004
ENSMUSG00000000028,57.12798194372764,-0.03604480560121495,0.3068019126686057,-0.11748559612191535,0.9064752576240113,0.9998702450211004
ENSMUSG00000000037,23.92660098280957,-0.2760994404408753,0.3877291011888291,-0.7120936746669714,0.4764067709124561,0.9998702450211004
ENSMUSG00000000049,19.530899588303466,0.6049361477766729,0.5076112424927636,1.1917311854756583,0.23336666591526012,0.9998702450211004
ENSMUSG00000000056,818.726016297212,-0.08852072739284639,0.1416775282750014,-0.6248042895061264,0.5320995150432373,0.9998702450211004
ENSMUSG00000000058,1133.0294331619311,-0.24446063116353886,0.1574968238619535,-1.5521622923507934,0.1206233960580015,0.9998702450211004
ENSMUSG00000000078,1172.0688970000615,0.04670314279547587,0.10341367311443647,0.4516147757733609,0.6515465236033214,0.9998702450211004
ENSMUSG00000000085,541.1500184516376,0.10791463856496088,0.09957350187255157,1.0837686385991074,0.27846739361800765,0.9998702450211004
ENSMUSG00000000088,2930.6557766520054,-0.03455165158703487,0.09353114995899843,-0.369413308851451,0.7118196794264096,0.9998702450211004
ENSMUSG00000000093,680.570417788229,-0.26447723782839877,0.14105466682422846,-1.8749981392531314,0.06079297951866399,0.9998702450211004
ENSMUSG00000000120,8100.498087294098,-0.061216436788523246,0.1375801153000753,-0.44495119556343143,0.6563550239658813,0.9998702450211004
ENSMUSG00000000125,20.711068833631646,0.44282716300161296,0.5311748975394522,0.8336748687728088,0.40446422353925715,0.9998702450211004
ENSMUSG00000000126,185.16419733695145,-0.16456674628885137,0.15404707509075005,-1.068288678586751,0.2853903137923912,0.9998702450211004
ENSMUSG00000000127,282.4874619314577,-0.01935452854365975,0.14589017790887227,-0.1326650554621245,0.8944582802258977,0.9998702450211004
ENSMUSG00000000131,1412.6305751989912,-0.0379973069853888,0.07239867642694155,-0.5248342768217922,0.5996984011552059,0.9998702450211004
ENSMUSG00000000134,853.2014375181793,-0.06998999624364702,0.08599309811777428,-0.8139024849155946,0.4157008170456169,0.9998702450211004
ENSMUSG00000000142,190.34556290450098,0.10372111854872348,0.1956785282687602,0.5300587625345627,0.5960711892762958,0.9998702450211004
ENSMUSG00000000148,470.4136315061401,0.08629399483931796,0.11064585090238896,0.7799117105208577,0.43544284503642916,0.9998702450211004
ENSMUSG00000000149,2195.8358211158306,0.025603066363235873,0.10125782908638523,0.25285023977151777,0.8003839430507763,0.9998702450211004
ENSMUSG00000000154,181.91689735698634,-0.12485626781962382,0.167135182458076,-0.7470376134057988,0.45504085661914917,0.9998702450211004
ENSMUSG00000000167,14.727353865932628,-0.08109271717290502,0.4763135774461998,-0.1702506941072125,0.8648129854734887,0.9998702450211004
ENSMUSG00000000168,2301.7133414177806,-0.08341914780699529,0.09258126522287319,-0.9010370252143163,0.36756863402402684,0.9998702450211004
ENSMUSG00000000171,1878.9870485559031,0.04744227560532462,0.10713504029444709,0.4428268797485448,0.6578909593075424,0.9998702450211004
ENSMUSG00000000184,169.98355800538482,0.12153342378112358,0.1838000234259232,0.661226378080986,0.5084671472849818,0.9998702450211004
ENSMUSG00000000194,1161.369034490773,0.02698147647107972,0.08946287666053405,0.30159410783827856,0.7629615002309608,0.9998702450211004
ENSMUSG00000000197,744.3383328285031,-0.06650321894531319,0.1399394528229652,-0.4752285192185593,0.634624101679296,0.9998702450211004
ENSMUSG00000000202,11.182527692934823,-0.27103839889084275,0.7777877598616278,-0.3484734690850133,0.7274846352858519,0.9998702450211004
ENSMUSG00000000204,18.206999464835512,-1.5936830726512692,0.9650257316081478,-1.6514410139048914,0.0986485559212189,0.9998702450211004
ENSMUSG00000000214,231.1617783670181,0.4235707528151505,0.34482902926532316,1.2283500426793847,0.21931559285086544,0.9998702450211004
ENSMUSG00000000223,10740.85409175829,0.14361369907791866,0.2686222860803067,0.534630618976209,0.5929053065019858,0.9998702450211004
ENSMUSG00000000247,2.8781147854825644,0.012432252444824501,1.1948844787159216,0.010404564345989981,0.9916985085263283,0.9998702450211004
ENSMUSG00000000253,836.942041538166,0.09518678188835325,0.09810504699889387,0.9702536699200243,0.33192006456607814,0.9998702450211004
ENSMUSG00000000266,722.5728383377468,0.010790734178982957,0.09809068467691448,0.11000773635666693,0.9124032394306479,0.9998702450211004
ENSMUSG00000000275,316.78904702182916,0.23557491739967107,0.13793306462505747,1.707893013470213,0.08765619579060106,0.9998702450211004
