Gene ID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ENSMUSG00000000001;1233.1041354774693;-0.03839296256857168;0.08597051361345384;-0.44658291494216945;0.6551762336965283;0.9417604582284268
ENSMUSG00000000028;55.8924760074601;-0.32303613473209736;0.20526090944192416;-1.5737830238129005;0.11553762002941685;
ENSMUSG00000000037;25.32309914675548;-0.28082474196212254;0.28338121383910436;-0.9909786825938529;0.3216959895991217;
ENSMUSG00000000049;18.904757800156656;-0.2797849903383972;0.3537651649381607;-0.7908777292623047;0.42901534554816534;
ENSMUSG00000000056;838.0565883883546;-0.07969385645130753;0.08569672824375162;-0.9299521473518825;0.3523958612812371;0.8409959709882324
ENSMUSG00000000058;1086.5530569486057;-0.29141344146003845;0.1440187352828148;-2.023441192479432;0.04302768086642804;0.570679959573308
ENSMUSG00000000078;1163.2433774525514;-0.05946942979167864;0.12284419305636829;-0.4841045255137985;0.6283116897168779;0.9346236879030458
ENSMUSG00000000085;556.7884331205694;0.0744626366199525;0.07379163277237812;1.009093224019642;0.31292992734548286;0.8228052682767597
ENSMUSG00000000088;2801.090916650824;0.10968781018244908;0.0867164110828337;1.2649025578061863;0.20590626035064896;0.7592001441550785
ENSMUSG00000000093;667.4500978305261;-0.145371994626129;0.1204896980252233;-1.2065097432288097;0.2276210045896192;0.7703847969504656
ENSMUSG00000000120;7615.29613961702;0.0699696704869143;0.11066995576522322;0.6322372680382102;0.5272318482344884;0.9060815508618629
ENSMUSG00000000125;26.015459680543717;-0.01004587472346728;0.4480360090289492;-0.022422025285959064;0.98211131112972;
ENSMUSG00000000126;180.314790283476;-0.10360745246762952;0.13327423500835356;-0.7774004664977853;0.43692253731889197;0.8731880908234245
ENSMUSG00000000127;292.925086465926;-0.0371622510556148;0.13204093321215798;-0.28144492886841393;0.7783691618847096;0.9684487414885261
ENSMUSG00000000131;1436.0848381598887;-0.0545523048587423;0.06068232731004865;-0.898981750980219;0.3686623810623636;0.8474590137353705
